Id_do_Cliente,Nome,Idade,SSN,Profissao
CUS_0x1290,Pattanaikb,31,922154739,Architect
CUS_0x1297,Edwardsz,46,169291865,Manager
CUS_0x1298,Melg,50,779780153,Lawyer
CUS_0x129b,N.W,24,366436243,Entrepreneur
CUS_0x12a4,Thomas Ferraroz,24,694314893,Mechanic
CUS_0x12a6,Natem,25,191091571,Manager
CUS_0x12a7,Luciat,37,145722113,Media Manager
CUS_0x12a8,Baertleine,44,036083232,Doctor
CUS_0x12a9,Driverb,44,583209758,Media Manager
CUS_0x12af,Marius Zahariao,37,430216270,Manager
CUS_0x12b6,Slatere,18,652609119,Writer
CUS_0x12b8,Cheef,29,706599144,Doctor
CUS_0x12be,Matt Scuffhamv,34,157939714,Engineer
CUS_0x12bf,Tarar,51,235334203,Entrepreneur
CUS_0x12c1,Michelek,48,902447100,Manager
CUS_0x12cb,Sakarif,39,075606485,Writer
CUS_0x12cc,Lauren Tarat,30,761365969,Developer
CUS_0x12ce,John Mccrankz,42,460152731,Accountant
CUS_0x12d1,Hirschlers,41,618453370,Accountant
CUS_0x12d5,Ita Bosed,29,518012262,Scientist
CUS_0x12dd,Liana B.V,36,954591206,Developer
CUS_0x12e7,Le,43,603763049,Architect
CUS_0x12ea,Aubine,15,511493728,Doctor
CUS_0x12ec,Guptax,42,836237353,Scientist
CUS_0x12ef,Christiaans,44,912099755,Mechanic
CUS_0x12f2,Luke Bakeri,25,006097131,Writer
CUS_0x12fa,Kathrinw,46,966601936,Manager
CUS_0x12fb,Jeb Blountz,35,006298039,Doctor
CUS_0x12fc,Illo,18,439294580,Manager
CUS_0x1309,Mirnaw,52,691126696,Writer
CUS_0x130b,Nicolacib,31,049839018,Writer
CUS_0x130c,Douwe Miedemaq,44,187005211,Engineer
CUS_0x1319,Casey Sullivany,47,829423206,Media Manager
CUS_0x131f,Silke Koltrowitzl,46,006117238,Developer
CUS_0x1324,Jennifer Sabaf,20,477003913,Mechanic
CUS_0x1325,Philipz,28,918420845,Accountant
CUS_0x1326,Camposs,20,994981405,Mechanic
CUS_0x1329,Richarda,50,525336734,Entrepreneur
CUS_0x132f,Mark Felsenthald,42,561609294,Musician
CUS_0x1330,Soyoung Kimc,33,185067532,Media Manager
CUS_0x1338,Olivia Orang,40,250629181,Scientist
CUS_0x133b,Bernard Vaughanz,34,072542150,Lawyer
CUS_0x133d,Taigai,22,240756950,Musician
CUS_0x133e,Carews,41,914490079,Entrepreneur
CUS_0x133f,Ernie Woodallm,31,630815640,Manager
CUS_0x1340,Matthewo,43,868017823,Architect
CUS_0x1341,Zhuk,47,155029593,Mechanic
CUS_0x1343,Aubinm,22,443927114,Teacher
CUS_0x1348,Sudip Karguptaq,43,614355346,Lawyer
CUS_0x134d,Woldep,44,640448899,Media Manager
CUS_0x1354,N.P,24,432993925,Entrepreneur
CUS_0x1355,Clement Tana,30,858730131,Entrepreneur
CUS_0x1358,Narayanan Somasundaramg,18,967907262,Teacher
CUS_0x135c,Brownc,41,594393524,Developer
CUS_0x1367,Caroline Valetkevitchi,46,434081310,Engineer
CUS_0x136b,Luciana Otonit,45,444162415,Writer
CUS_0x136c,Mutikanik,56,158744274,Lawyer
CUS_0x1370,Rothackerb,32,710060138,Writer
CUS_0x1375,Stanley Whitev,16,841270645,Lawyer
CUS_0x1378,Alan Wheatleyx,15,674690430,Mechanic
CUS_0x137d,Frencho,33,193224579,Media Manager
CUS_0x1382,Olesya Dmitracovaq,45,844617647,Entrepreneur
CUS_0x1383,Niklasb,19,000580568,Developer
CUS_0x138b,Ernie Woodallh,42,307808496,Engineer
CUS_0x138d,Odonnelld,39,568441961,Mechanic
CUS_0x138e,Herbertu,52,388889221,Lawyer
CUS_0x138f,Mccranko,30,569149292,Entrepreneur
CUS_0x139b,Chen Aizhuk,46,346995140,Scientist
CUS_0x13a8,Baileyz,41,918562439,Journalist
CUS_0x13a9,Saprud,47,920850637,Manager
CUS_0x13b0,Doug Palmerl,34,724940404,Entrepreneur
CUS_0x13b2,Horowitze,27,404971261,Musician
CUS_0x13b5,Tim Reids,54,023349301,Lawyer
CUS_0x13b8,Ill Rigbyb,29,094650795,Scientist
CUS_0x13bc,Rie Ishiguroi,23,934826083,Engineer
CUS_0x13c2,Menonv,40,090984724,Teacher
CUS_0x13c7,Asmab,35,305396641,Teacher
CUS_0x13ce,Rax,52,396504794,Manager
CUS_0x13d1,Lt,22,689843896,Musician
CUS_0x13d5,Camposq,50,604475660,Musician
CUS_0x13d6,Michaelk,44,502349558,Engineer
CUS_0x13db,Natalieq,24,223952140,Engineer
CUS_0x13de,Scottx,35,298785836,Lawyer
CUS_0x13df,Clareh,38,082879651,Engineer
CUS_0x13e3,Sakthi Prasadb,56,437663296,Musician
CUS_0x13e4,Edward Krudyl,21,652149122,Doctor
CUS_0x13e7,Danielm,37,548618467,Scientist
CUS_0x13eb,Ryanh,31,110231785,Journalist
CUS_0x13ec,Gabriel Wildauu,55,840306552,Engineer
CUS_0x13ee,Claraj,31,497597351,Doctor
CUS_0x13ef,Lukey,52,767082746,Media Manager
CUS_0x13f6,Levinea,46,178960125,Entrepreneur
CUS_0x13f8,Pedrob,19,124544852,Mechanic
CUS_0x13fa,Olivia Oranh,22,158050970,Manager
CUS_0x13fb,Umeshc,23,995801416,Doctor
CUS_0x140e,Myles Neliganp,41,622113102,Engineer
CUS_0x1410,Kiharaj,44,087586247,Teacher
CUS_0x1414,Chatterjeeo,46,960309698,Journalist
CUS_0x1416,Valentinaz,20,036322011,Accountant
CUS_0x141c,Singh Rossy,43,862018685,Manager
CUS_0x141d,Joew,26,989823003,Journalist
CUS_0x1422,Eva Kuehnent,17,631852071,Developer
CUS_0x1425,Eric Onstadq,34,502316140,Teacher
CUS_0x142f,Langey,54,158892902,Mechanic
CUS_0x1430,Chiango,30,945494517,Doctor
CUS_0x1431,Lefteris Papadimasq,32,752768063,Mechanic
CUS_0x1436,Jonesn,23,988700775,Developer
CUS_0x1437,Emilyb,46,865467860,Scientist
CUS_0x1439,Andreah,24,861714122,Media Manager
CUS_0x143a,Lynch Jonathans,33,782103214,Teacher
CUS_0x143c,Kumar Singhj,36,422184190,Accountant
CUS_0x143d,Joneso,27,797301627,Scientist
CUS_0x1440,Jinq,19,807692993,Teacher
CUS_0x1441,Clarky,22,150439697,Journalist
CUS_0x1443,Saeed Azharq,31,557529177,Lawyer
CUS_0x1447,Fool,22,836937211,Doctor
CUS_0x144c,Karen Freifelde,53,317803283,Mechanic
CUS_0x144d,Dokoupill,23,269664319,Mechanic
CUS_0x144f,Katyad,18,035270594,Engineer
CUS_0x1452,Sarah Whited,41,976056851,Architect
CUS_0x1453,Ailx,49,580735233,Scientist
CUS_0x1458,Harro Tenk,53,222556808,Developer
CUS_0x145a,Oreskovicb,29,648179617,Lawyer
CUS_0x145c,Lewis Krauskopfu,41,448305081,Writer
CUS_0x1463,Rachnae,51,239418144,Media Manager
CUS_0x146a,Ryanu,35,473273479,Architect
CUS_0x1470,Jatindrax,25,541603931,Accountant
CUS_0x1471,Peg Mackeyo,43,478178849,Teacher
CUS_0x1472,Chiangx,39,144907708,Entrepreneur
CUS_0x147a,Chriss,21,947320844,Writer
CUS_0x147c,Soyoungb,32,504715417,Teacher
CUS_0x1488,Kirstiny,39,856929467,Entrepreneur
CUS_0x148b,Waltero,50,947711861,Architect
CUS_0x148e,N.O,45,942005565,Accountant
CUS_0x1492,En Hirschlerw,36,612310459,Teacher
CUS_0x1498,Raymondk,40,335781643,Manager
CUS_0x1499,Guptaj,50,440228350,Engineer
CUS_0x149e,Daveq,35,760875470,Media Manager
CUS_0x14a3,Prustyx,44,642063189,Media Manager
CUS_0x14b3,Georged,55,109010234,Lawyer
CUS_0x14b4,Ingramp,33,377942974,Engineer
CUS_0x14b9,Silvia Aloisit,31,035831012,Architect
CUS_0x14ba,Kevin Yaoe,21,961030481,Teacher
CUS_0x14c1,Denny Thomasz,37,695592005,Media Manager
CUS_0x14c2,Diane Bartzx,31,840293626,Architect
CUS_0x14ca,Bosellip,29,348829499,Teacher
CUS_0x14ce,Laul,44,318824117,Musician
CUS_0x14cf,Philf,29,195255475,Musician
CUS_0x14d0,Huwk,22,271412506,Musician
CUS_0x14d1,Matthewx,29,166120556,Journalist
CUS_0x14d3,Enl,33,219576916,Teacher
CUS_0x14d5,Kirstinz,37,476480347,Engineer
CUS_0x14d8,Miyoung Kimg,47,577568377,Writer
CUS_0x14d9,Subhedarm,37,225599039,Writer
CUS_0x14de,Ormsbya,22,656310155,Manager
CUS_0x14e5,Michael Flahertym,29,836693439,Doctor
CUS_0x14ea,Tom Polanseks,42,298760431,Teacher
CUS_0x14ec,Mattp,27,931563569,Media Manager
CUS_0x14f1,Viswanathag,30,058167275,Engineer
CUS_0x14f4,Richardc,23,870880893,Developer
CUS_0x14f5,Richard Leongd,41,497156333,Doctor
CUS_0x14f6,Jarryj,56,095653687,Doctor
CUS_0x14ff,Ishchenkox,38,027713979,Writer
CUS_0x150b,Pete Sweeneyw,21,459496464,Entrepreneur
CUS_0x150c,Robd,21,008813367,Mechanic
CUS_0x150d,Costa Markl,39,868876401,Writer
CUS_0x1510,Slatert,28,847736303,Doctor
CUS_0x151b,Allison Martelln,53,224453294,Journalist
CUS_0x1521,Sineadm,54,503915659,Accountant
CUS_0x1528,Foow,44,770631122,Entrepreneur
CUS_0x1534,Ernest Scheyderi,27,764417508,Scientist
CUS_0x1535,Reganv,23,600383364,Musician
CUS_0x1537,Michaele,40,540885808,Engineer
CUS_0x153d,Saraht,21,365791629,Accountant
CUS_0x1540,Soyoung Kimf,26,742168468,Engineer
CUS_0x1542,James Regans,43,946399629,Engineer
CUS_0x1546,Ryanh,18,078438169,Engineer
CUS_0x1550,Scuffhamm,38,290341014,Musician
CUS_0x1551,Kyle Petersonm,28,210969043,Entrepreneur
CUS_0x155b,Vellacottv,26,642533146,Entrepreneur
CUS_0x1563,Scottc,16,303549202,Developer
CUS_0x1567,Tetsushik,31,675441792,Entrepreneur
CUS_0x1572,Martin Pettys,40,031163010,Engineer
CUS_0x1577,Wohlg,24,812176549,Mechanic
CUS_0x157a,Ben Klaymani,17,103888332,Media Manager
CUS_0x157d,Thompsonf,24,901977993,Teacher
CUS_0x1585,Kazunori Takadax,22,168460002,Media Manager
CUS_0x1589,Olivia Oranw,36,618912082,Doctor
CUS_0x158e,Rodrigoo,35,208038186,Writer
CUS_0x1591,Olivia Oranh,21,352066563,Writer
CUS_0x1595,Lucy Hornbyw,40,132580299,Accountant
CUS_0x159b,Thatcheri,36,437454869,Architect
CUS_0x159f,Millikenw,34,554389690,Engineer
CUS_0x15a3,Mccrankd,32,174732790,Mechanic
CUS_0x15a4,Madeline Chamberss,22,208964573,Engineer
CUS_0x15a7,Philippy,22,755771230,Mechanic
CUS_0x15a9,Petery,40,827078942,Writer
CUS_0x15ad,Peterl,27,357700085,Mechanic
CUS_0x15b4,Virkid,23,648004817,Musician
CUS_0x15b7,Anna Driverc,37,741123280,Engineer
CUS_0x15b9,Alex Rax,24,824348358,Writer
CUS_0x15c4,Sue Zeidlerd,38,267546899,Journalist
CUS_0x15c5,Jensent,39,680708654,Doctor
CUS_0x15cc,Anna Yukhananova,25,009206501,Manager
CUS_0x15d5,Grantq,24,296396431,Teacher
CUS_0x15d9,Edwine,35,595114463,Doctor
CUS_0x15da,Lynch Emilyy,24,283097565,Doctor
CUS_0x15dd,Annq,41,794513706,Architect
CUS_0x15df,Whiteb,30,472104696,Manager
CUS_0x15e7,Yimou Leeh,16,948925850,Media Manager
CUS_0x15ec,Phile,31,164228240,Manager
CUS_0x15f1,Peter Rudegeairj,33,097154981,Lawyer
CUS_0x15f2,Taiga Uranakar,32,708006661,Teacher
CUS_0x15f4,Barrh,17,858258047,Developer
CUS_0x15f7,Dhanyal,19,291889685,Engineer
CUS_0x15f8,Sonali Paulv,37,979818610,Developer
CUS_0x1600,Megan Daviesb,30,871128955,Media Manager
CUS_0x1604,Sam Forgioneb,43,078267485,Developer
CUS_0x1607,Nicolacif,46,994401980,Architect
CUS_0x160a,Fergus Jenseny,27,262336347,Doctor
CUS_0x1612,En Klaymanf,39,147972500,Media Manager
CUS_0x1613,Anna Driveru,33,572191320,Accountant
CUS_0x1616,Johnc,33,232160697,Architect
CUS_0x1619,Phil Wahbao,55,683597399,Media Manager
CUS_0x161b,Pavel Polityukq,39,451950188,Manager
CUS_0x1621,Nickr,41,470601304,Writer
CUS_0x1628,Frostl,34,340569506,Musician
CUS_0x162f,Olearyk,36,170701371,Engineer
CUS_0x1630,Laurence Fletchery,36,638524307,Writer
CUS_0x1631,Karen Jacobsy,46,453642565,Mechanic
CUS_0x1638,Langeu,28,419040207,Lawyer
CUS_0x163c,Julien Toyera,32,534127952,Media Manager
CUS_0x1640,Josephine Masonl,28,386117632,Teacher
CUS_0x1647,Caroline Valetkevitchb,20,747797877,Lawyer
CUS_0x164a,Alistairj,41,580126259,Entrepreneur
CUS_0x164f,Mccrankk,31,810039800,Architect
CUS_0x165a,Margaret Chadbournw,36,863160608,Architect
CUS_0x165b,Karolina Tagarist,24,639958108,Mechanic
CUS_0x165e,Schnurrn,30,185362802,Doctor
CUS_0x165f,Robertw,38,962163321,Writer
CUS_0x1661,Sams,17,205564253,Doctor
CUS_0x1663,Soham Chatterjeem,34,773731932,Lawyer
CUS_0x1664,Noelv,30,415689816,Developer
CUS_0x1666,Luciaj,50,834782099,Engineer
CUS_0x1668,Emily Stephensonm,31,371798484,Scientist
CUS_0x166c,Longstrethl,41,422627783,Scientist
CUS_0x1673,Annad,28,002939888,Doctor
CUS_0x1676,Jonathanq,22,408024990,Mechanic
CUS_0x167a,Soyoung Kimt,44,851456853,Journalist
CUS_0x1680,Odonnelli,28,385987605,Doctor
CUS_0x1688,Kerberl,39,741048469,Architect
CUS_0x168d,Ori Lewiss,34,305623317,Entrepreneur
CUS_0x1690,Economics Correspondentu,44,726423850,Architect
CUS_0x1691,Ermanr,44,003838192,Media Manager
CUS_0x1695,Svea Herbstbaylissx,28,947472443,Engineer
CUS_0x1697,Pauls,43,044061094,Musician
CUS_0x1698,Rosenp,19,622913070,Media Manager
CUS_0x1699,Sabam,29,916343895,Lawyer
CUS_0x169c,Kevin Grayy,46,329302891,Developer
CUS_0x169d,Jonathanl,21,282189852,Musician
CUS_0x16a2,Liana B.G,24,073142342,Musician
CUS_0x16a4,Sakari Suoninenr,36,550638553,Architect
CUS_0x16a5,Cruisel,43,309469938,Mechanic
CUS_0x16a6,Schnurrz,26,633222015,Musician
CUS_0x16ae,Pascalz,40,567876871,Musician
CUS_0x16b1,Illy Cheungd,36,019800066,Writer
CUS_0x16b4,Mahmoudn,37,171242247,Lawyer
CUS_0x16b6,Wongy,41,687030707,Accountant
CUS_0x16be,Agnieszkac,39,241146353,Doctor
CUS_0x16c4,Marjag,18,365267399,Mechanic
CUS_0x16cf,Aaron Sheldricka,15,386778198,Architect
CUS_0x16d0,Spicerc,39,570243883,Entrepreneur
CUS_0x16d3,Andrea Shalalesac,19,619069383,Entrepreneur
CUS_0x16d4,Sinead Carewq,44,132827348,Developer
CUS_0x16d5,Wohlo,33,434003122,Mechanic
CUS_0x16d9,Matt Scuffhamw,41,931501049,Writer
CUS_0x16ee,Tom Berginw,49,538375854,Developer
CUS_0x16f4,Forgionez,37,858571904,Media Manager
CUS_0x16f5,Annj,53,138083421,Scientist
CUS_0x16f8,Nate Raymondz,25,107465762,Architect
CUS_0x16fd,Padraic Halpinn,35,953215076,Architect
CUS_0x1705,Sruthiy,47,176225639,Media Manager
CUS_0x1709,Lukes,49,678225579,Developer
CUS_0x1713,Jessica Wohlr,33,186820006,Musician
CUS_0x1718,Hyunjoo Jinh,43,047161543,Architect
CUS_0x172d,Carrelx,39,587574370,Musician
CUS_0x1733,Jonathan Cablec,29,055429873,Entrepreneur
CUS_0x1735,Cyril Altmeyert,20,897042508,Scientist
CUS_0x1739,Miyoung Kima,42,569889911,Scientist
CUS_0x1743,Terryh,23,005765155,Mechanic
CUS_0x1746,Oliviae,27,064209607,Media Manager
CUS_0x1748,Olga Dzyubenkop,35,958256723,Mechanic
CUS_0x174b,Mutikanic,30,942429612,Writer
CUS_0x1750,Evar,38,270386663,Teacher
CUS_0x1755,Chees,19,728091263,Accountant
CUS_0x1758,Miaq,22,322654078,Lawyer
CUS_0x1764,Ross Kerberf,26,807844440,Engineer
CUS_0x1765,Harryw,33,966305287,Engineer
CUS_0x1766,Raden Reddalld,15,751677414,Teacher
CUS_0x1768,Ra Alpert,37,738217582,Writer
CUS_0x1769,Stephenr,27,416991698,Musician
CUS_0x176b,Mike Dolanj,25,917476490,Journalist
CUS_0x1773,Laura Noonanh,41,682537501,Architect
CUS_0x1786,Jan Strupczewskiy,23,468280415,Media Manager
CUS_0x178b,Days,45,543677876,Developer
CUS_0x178d,Luciad,50,646172843,Scientist
CUS_0x1799,Raymondk,48,069904166,Mechanic
CUS_0x17a9,Sheldrickr,40,034958551,Musician
CUS_0x17b0,Chucki,22,713733196,Developer
CUS_0x17b5,Kiharak,51,714280746,Doctor
CUS_0x17bb,Aarony,40,691171432,Architect
CUS_0x17c3,Peter Lauriav,23,530886920,Writer
CUS_0x17c4,Eyy,28,556401723,Teacher
CUS_0x17c5,Ayesha Rascoek,43,676909901,Engineer
CUS_0x17c7,Philu,53,302017301,Engineer
CUS_0x17d1,Niklas Pollardc,23,394215957,Architect
CUS_0x17d3,Stempelu,30,436401442,Architect
CUS_0x17d7,Polansekz,41,768241090,Scientist
CUS_0x17e0,Silvia Antonioliq,31,739053714,Lawyer
CUS_0x17e3,Jasonb,31,838113561,Media Manager
CUS_0x17e5,Alison Griswoldo,28,175335803,Scientist
CUS_0x17e8,Koh Guii,35,092763178,Mechanic
CUS_0x17e9,Shirouzuj,43,616947076,Accountant
CUS_0x17ec,Billz,39,853627450,Architect
CUS_0x17ef,Chucky,22,339709719,Journalist
CUS_0x17f0,Luke Jeffsl,26,097851090,Scientist
CUS_0x17f3,Ronald Groverk,39,033086622,Manager
CUS_0x17fb,Sharpi,40,700020618,Teacher
CUS_0x17fc,Andrea Shalalesac,27,833422182,Entrepreneur
CUS_0x17fe,Santaa,30,770457126,Developer
CUS_0x17ff,Michaelk,21,280033060,Scientist
CUS_0x1806,Vorobyovai,56,167188944,Manager
CUS_0x1807,Carstenc,55,967065986,Manager
CUS_0x180a,Nickk,45,356189501,Media Manager
CUS_0x180f,Kareng,30,568543190,Scientist
CUS_0x1810,Mangank,36,759353427,Developer
CUS_0x181a,Andrewr,56,165488166,Mechanic
CUS_0x181c,Johnb,20,255785791,Manager
CUS_0x181e,Robert Robertssonf,36,949568430,Doctor
CUS_0x181f,Jonasg,38,552716305,Media Manager
CUS_0x1820,Ra Alpers,27,654711742,Engineer
CUS_0x1821,Piersonm,18,045814729,Teacher
CUS_0x182b,Edwinz,48,736286339,Doctor
CUS_0x182d,Smiths,26,344739102,Entrepreneur
CUS_0x1833,Wolfc,50,277683924,Architect
CUS_0x1835,Jeffrey Hellerw,18,013265726,Doctor
CUS_0x1837,Kazunori Takadab,36,600872067,Musician
CUS_0x183d,Whiteb,15,259110934,Writer
CUS_0x183e,Alison Griswoldn,42,269195115,Scientist
CUS_0x1844,Anthony Deutscha,38,638113367,Writer
CUS_0x1848,Glennl,38,766425182,Musician
